,month,year,region,id,count,title,rank,date,artist,url
0,1,2017,Canada,343YBumqHu19cGoGARUTsd,31,Fake Love,3,2017-01-01,Drake,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
31,1,2017,Canada,3NdDpSvN911VPGivFlV5d0,31,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",9,2017-01-01,"ZAYN, Taylor Swift",https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
62,1,2017,Canada,4Km5HrUvYTaSUfiSGPJeQR,31,Bad and Boujee (feat. Lil Uzi Vert),4,2017-01-01,Migos,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
93,1,2017,Canada,5aAx2yezTd8zXrkmtKl66Z,31,Starboy,1,2017-01-01,"The Weeknd, Daft Punk",https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
124,1,2017,Canada,5knuzwU65gJK7IF5yJsuaW,30,Rockabye (feat. Sean Paul & Anne-Marie),10,2017-01-01,Clean Bandit,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
154,1,2017,United Kingdom,5Ua3GXyHwiSfpNTMjq6m2z,31,Touch,6,2017-01-01,Little Mix,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z
185,1,2017,United Kingdom,5knuzwU65gJK7IF5yJsuaW,31,Rockabye (feat. Sean Paul & Anne-Marie),1,2017-01-01,Clean Bandit,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
216,1,2017,United Kingdom,4Q4jmPHwu0wrJvqrld0FQ6,28,I Would Like,5,2017-01-01,Zara Larsson,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6
244,1,2017,United Kingdom,58zsLZPvfflaiIbNWoA22O,27,Human,9,2017-01-02,Rag'n'Bone Man,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
271,1,2017,United Kingdom,6PCUP3dWmTjcTtXY02oFdT,26,Castle on the Hill,2,2017-01-06,Ed Sheeran,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
297,1,2017,United States,0SGkqnVQo9KPytSri1H6cF,31,Bounce Back,10,2017-01-01,Big Sean,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
328,1,2017,United States,343YBumqHu19cGoGARUTsd,31,Fake Love,2,2017-01-01,Drake,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
359,1,2017,United States,4Km5HrUvYTaSUfiSGPJeQR,31,Bad and Boujee (feat. Lil Uzi Vert),1,2017-01-01,Migos,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
390,1,2017,United States,5aAx2yezTd8zXrkmtKl66Z,31,Starboy,3,2017-01-01,"The Weeknd, Daft Punk",https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
421,1,2017,United States,3NdDpSvN911VPGivFlV5d0,30,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",9,2017-01-02,"ZAYN, Taylor Swift",https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
451,2,2017,Canada,3NdDpSvN911VPGivFlV5d0,28,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3,2017-02-01,"ZAYN, Taylor Swift",https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
479,2,2017,Canada,72jbDTw1piOOj770jWNeaG,28,Paris,2,2017-02-01,The Chainsmokers,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
507,2,2017,Canada,7qiZfU4dY1lWllzX7mPBI3,28,Shape of You,1,2017-02-01,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
535,2,2017,Canada,4Km5HrUvYTaSUfiSGPJeQR,26,Bad and Boujee (feat. Lil Uzi Vert),4,2017-02-01,Migos,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
561,2,2017,Canada,5knuzwU65gJK7IF5yJsuaW,23,Rockabye (feat. Sean Paul & Anne-Marie),6,2017-02-01,Clean Bandit,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
584,2,2017,United Kingdom,6PCUP3dWmTjcTtXY02oFdT,28,Castle on the Hill,2,2017-02-01,Ed Sheeran,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
612,2,2017,United Kingdom,72jbDTw1piOOj770jWNeaG,28,Paris,4,2017-02-01,The Chainsmokers,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
640,2,2017,United Kingdom,7qiZfU4dY1lWllzX7mPBI3,28,Shape of You,1,2017-02-01,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
668,2,2017,United Kingdom,00lNx0OcTJrS3MKHcB80HY,27,You Don't Know Me - Radio Edit,3,2017-02-01,"Jax Jones, RAYE",https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
695,2,2017,United Kingdom,5Ua3GXyHwiSfpNTMjq6m2z,24,Touch,5,2017-02-01,Little Mix,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z
719,2,2017,United States,0SGkqnVQo9KPytSri1H6cF,28,Bounce Back,7,2017-02-01,Big Sean,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
747,2,2017,United States,2EEeOnHehOozLq4aS0n6SL,28,iSpy (feat. Lil Yachty),8,2017-02-01,KYLE,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
775,2,2017,United States,3NdDpSvN911VPGivFlV5d0,28,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3,2017-02-01,"ZAYN, Taylor Swift",https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
803,2,2017,United States,4Km5HrUvYTaSUfiSGPJeQR,28,Bad and Boujee (feat. Lil Uzi Vert),1,2017-02-01,Migos,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
831,2,2017,United States,7qiZfU4dY1lWllzX7mPBI3,28,Shape of You,2,2017-02-01,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
859,3,2017,Canada,7qiZfU4dY1lWllzX7mPBI3,31,Shape of You,1,2017-03-01,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
890,3,2017,Canada,3eR23VReFzcdmS7TYCrhCe,26,It Ain't Me (with Selena Gomez),2,2017-03-01,Kygo,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
916,3,2017,Canada,6RUKPb4LETWmmr3iAEQktW,25,Something Just Like This,3,2017-03-01,"The Chainsmokers, Coldplay",https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
941,3,2017,Canada,0dA2Mk56wEzDgegdC6R17g,24,Stay (with Alessia Cara),6,2017-03-01,Zedd,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
965,3,2017,Canada,3rOSwuTsUlJp0Pu0MkN8r8,19,Mask Off,6,2017-03-08,Future,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
